qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
0,12,0,0.6,400,0,5151,3
4,4,0,19.62,1000,0,6040,1
3,16,0,7.39,1200,1,4701,1
4,10,0,10.45,400,0,4921,1
6,16,0,10.7,2000,1,5851,1
7,22,0,9.75,800,0,4997,2
3,5,0,13.36,1600,1,4493,2
6,15,0,10.7,1000,0,5528,3
2,14,0,6.59,800,0,4209,2
3,10,0,8.87,800,1,5180,2
8,19,0,11.55,400,1,4613,2
4,15,0,8.59,800,0,6286,2
5,17,0,9.12,1000,0,6242,3
0,12,1,0.5,800,0,4930,2
8,14,0,13.35,1000,0,4487,1
5,12,0,10.81,400,0,6062,2
6,21,0,9.19,400,0,6228,2
6,17,0,10.05,2000,1,4576,4
4,15,0,8.59,400,0,4297,2
5,17,0,9.36,800,1,4783,3
6,16,0,10.7,1600,1,5476,3
4,12,1,9.92,600,0,4810,2
5,21,0,8.44,800,1,4261,2
6,20,0,9.09,1600,1,4078,2
5,22,0,8.44,800,0,6191,2
8,11,0,15.67,800,0,5660,1
3,3,0,19.58,1600,1,4887,3
5,19,0,8.73,400,1,4697,2
7,15,0,11.75,2000,1,4136,1
4,21,0,7.16,800,1,5161,1
5,16,0,9.36,400,1,5591,1
4,10,0,11.1,200,0,4572,2
5,15,0,9.64,400,0,4137,3
1,17,0,5.41,800,1,4987,1
3,3,0,19.58,2000,1,5591,2
4,11,0,10.45,200,0,5106,1
5,15,1,10.35,800,1,5208,4
3,12,0,8.18,800,1,5521,1
6,22,0,9.03,600,0,4994,2
2,21,0,5.66,800,1,5652,5
4,13,0,9.14,1600,1,6174,2
5,15,0,9.62,1000,0,4487,6
7,40,1,7.6,800,1,6141,1
5,23,0,7.64,600,0,5943,4
5,18,0,9.12,400,1,5440,1
9,36,1,8.87,1600,1,5043,1
4,11,0,10.45,1000,0,6296,1
1,3,0,9.05,800,1,4787,1
4,12,0,9.5,400,1,5721,1
8,13,0,14,400,0,6297,2
8,18,0,11.1,1600,1,5648,2
4,12,0,9.5,600,0,5754,1
6,17,0,10.35,2000,1,4248,1
4,15,0,8.5,800,0,5706,2
6,19,0,9.57,400,0,4816,2
6,16,0,10.35,400,0,5631,1
11,16,0,15.29,800,0,4475,2
