qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
6,16,0,10.7,2000,1,4573,2
3,7,0,10.75,2000,1,4610,1
2,15,0,6.49,2000,1,4573,2
4,10,0,10.45,2000,1,4619,2
7,14,0,12.23,2000,1,4577,2
3,15,0,7.54,2000,1,4629,3
4,10,0,11.1,1600,1,5708,2
3,23,0,6.88,1600,1,5747,2
3,9,0,9.35,1600,1,5711,1
4,12,0,9.5,1600,1,5692,1
3,9,0,10.75,1600,1,5703,1
9,31,1,9.98,1600,1,5693,2
9,34,1,9.02,1600,1,5696,1
1,8,0,6.01,1600,1,5709,3
6,18,0,9.79,1600,1,5692,2
4,13,0,9.14,1600,1,5697,2
4,17,0,8.38,1600,1,5732,3
7,16,0,11.34,1600,1,5747,2
6,15,0,10.7,1600,1,5703,1
8,18,0,11.91,1600,1,5731,2
4,14,0,8.84,400,0,6059,3
1,1,0,19.48,400,0,6062,1
13,37,0,11.02,400,0,6054,2
1,22,1,5.41,400,0,6038,1
1,1,0,19.48,400,0,6071,1
2,9,0,7.59,400,0,6060,1
6,19,0,9.57,400,0,6049,2
4,10,0,10.45,400,1,6046,1
6,18,0,9.35,400,0,6073,1
7,14,0,12.78,400,1,6048,2
3,22,0,6.88,400,1,6073,1
1,3,0,9.05,400,1,6040,1
2,5,0,10.2,400,1,6070,1
4,14,0,8.84,400,0,6061,7
2,9,0,7.98,400,1,6065,2
0,4,0,0.2,400,0,6042,1
5,15,0,9.64,400,1,6070,1
4,16,0,8.59,400,0,6056,2
4,8,0,11.93,400,1,6074,2
9,15,0,13.85,400,0,6056,2
3,25,0,6.15,400,0,6075,2
5,16,0,10.35,400,0,6041,1
3,19,1,7.27,400,1,6034,1
3,17,0,7.27,400,0,6063,3
6,20,0,9.37,400,1,6084,3
4,19,0,7.9,400,0,6052,2
5,22,1,8.58,400,0,6062,2
9,15,0,14.48,400,0,6080,2
2,9,0,8.5,400,1,6048,3
8,12,0,14.76,400,1,6044,4
5,14,0,9.97,400,0,6065,2
9,19,0,12.06,400,0,6036,2
7,20,0,10.16,800,0,5465,3
7,16,0,11.34,800,1,5454,2
0,1,0,0.05,800,0,5454,1
3,7,0,10.75,800,0,5451,1
3,18,0,7.16,800,1,5463,2
3,16,0,7.39,800,0,5460,2
3,15,0,7.54,800,0,5465,1
3,13,0,8.18,800,0,5448,3
3,16,0,7.39,800,0,5460,2
7,16,0,11.34,800,1,5471,2
6,22,0,9.19,800,0,5449,1
4,10,0,10.45,800,0,5468,2
8,37,1,8.38,800,1,5477,1
5,15,0,9.64,800,0,5458,3
1,12,1,5.71,800,0,5471,2
6,19,0,9.57,800,1,5487,3
3,6,0,13.36,800,0,5491,1
4,12,0,9.92,800,1,5467,1
2,2,0,19.53,800,1,5484,1
3,5,0,13.36,800,0,5478,1
8,16,0,12.33,800,1,5485,1
5,14,0,10.35,800,0,5492,2
6,14,0,11.1,800,1,5492,1
6,13,0,11.57,800,1,5488,1
5,19,0,8.92,800,0,5481,1
2,11,0,7.05,800,0,5452,3
6,19,0,9.57,800,1,5487,3
5,17,0,9.12,800,1,5489,1
12,48,1,9.27,800,1,5465,3
5,17,0,9.36,1200,1,6140,1
4,12,0,9.5,1200,1,6181,4
6,19,0,9.57,1200,1,6129,2
7,28,0,9.18,1200,1,6166,2
6,27,1,8.9,1200,1,6141,1
3,16,1,7.71,1200,1,6164,2
5,14,0,9.62,1200,1,6127,1
1,5,0,7.04,1200,1,6128,1
4,5,0,16.52,1200,1,6171,1
11,39,1,9.35,1200,1,6134,1
3,9,0,9.35,1200,1,6129,1
8,29,1,9.14,1200,1,6161,3
